hoja,fila,codigo_interno,codigo_proveedor,proveedor,marca,descripcion,familia,estado_final,product_id,codigo_producto,variant_id,sku,supplier_offer_id,decision,issue,motivo
Catálogo organizado,2,,,JEZABELL,,GANCHITO NEGRO INVISIBLE,Accesorios y protección de peluquería,IMPORTED,6c0751b3-7902-415b-93d1-4190bab30ad1,GEN-ACC-3F5202,286477a9-2a95-4089-8aa9-1290d8385e88,GEN-ACC-3F5202-D73211,bee307c3-d290-4cd8-87ea-b4d7262ce8a7,,,
Catálogo organizado,3,AIF002,,MAY,AIFER,BORLA CIRCULAR C/SUJETADOR X2,Accesorios y protección de peluquería,IMPORTED,1e7c56e4-4733-44d3-a6f4-cb93dc9e108a,AIF-ACC-4208CD,8170ecd3-14ad-4937-a281-8dba7115c71a,AIF002,be0bea61-da24-4c6e-a152-cb703918592a,,,
Catálogo organizado,4,,JM-02,CHINO PUNO,BONNET,GORRO PARA SECADO,Accesorios y protección de peluquería,IMPORTED,b8b2e459-9787-4597-846d-55fb0716fc0e,BON-ACC-ABD944,7369c7d4-9f87-4b97-a6e5-41151d9e2909,BON-ACC-ABD944-UNICA,427bc5cc-4e4e-484a-98fa-3fc4c3feff81,,,
Catálogo organizado,5,,SHEY-193,MAY,CROCODILE,SUJETADOR COCODRILO NEGRO,Accesorios y protección de peluquería,IMPORTED,76fe020b-928a-499a-a66a-f60924d5b3e9,CRO-ACC-5CC3E9,58a759ac-3ec4-4921-b0f0-bbaeb7c7e79b,CRO-ACC-5CC3E9-D73211,ddce633b-32bb-413f-9994-41be0f13bf21,,,
Catálogo organizado,6,,,KELMAR PUNO,CROCODILE,SUJETADOR COCODRILO NEGRO,Accesorios y protección de peluquería,IMPORTED,76fe020b-928a-499a-a66a-f60924d5b3e9,CRO-ACC-5CC3E9,58a759ac-3ec4-4921-b0f0-bbaeb7c7e79b,CRO-ACC-5CC3E9-D73211,2bbd45b1-fea5-4162-aadf-5fcfb3e6127c,,,
Catálogo organizado,7,FLO001,,MAY,FLOWER SECRET,MOTA P/BASE X2 CON SUJETADOR,Accesorios y protección de peluquería,IMPORTED,ddaf23af-0a56-4225-8375-e67c94bb12cb,FLO-ACC-5D092C,03a8b1a0-efb4-4de2-9a8c-9a69b87a5f23,FLO001,c82e75df-d024-42c1-bf09-a85804215e3e,,,
Catálogo organizado,8,,,QAI INAMBARI,KIM KIMBLE,MASAJEADOR CABELLO CAJITA,Accesorios y protección de peluquería,IMPORTED,8c43b9b5-7d66-4de4-8a47-8f7f87cb2b7c,KIM-ACC-CF5FBA,87e1e137-f698-4efe-8eb4-00de440065fa,KIM-ACC-CF5FBA-UNICA,3e3e73a6-5cff-4c37-b43b-22c9570fdffa,,,
Catálogo organizado,9,,,MAY,ONGEA,BOTAPELO M/MADERA PROF.,Accesorios y protección de peluquería,IMPORTED,36e592fa-c650-4651-813f-2458f5c21458,ONG-ACC-16D884,8962fb19-1629-4149-b7c8-8f0d52ba6464,ONG-ACC-16D884-UNICA,b6effeac-0b07-4676-acad-61c0061dacef,,,
Catálogo organizado,10,,SHEY-217,MAY,OTROS,BOTAPELO BASE NEGRO,Accesorios y protección de peluquería,IMPORTED,27fc9cd3-ac3d-4894-bd73-a7ca26132cff,GEN-ACC-123552,07705839-e7c2-485c-a255-3a9dd4ecc260,GEN-ACC-123552-D73211,6f69054c-86d1-4125-9109-e5007999ce8a,,,
Catálogo organizado,11,OTR001,,MAY,OTROS,BOTAPELO C/DISEÑO BARBERIA,Accesorios y protección de peluquería,IMPORTED,0d435062-3fb6-46b8-b646-d0f4aa46c2f5,GEN-ACC-A694BA,60a8d787-26f5-4118-bb67-d86022d279d0,OTR001,184849a4-baa3-4f41-90d0-ab22542f4e46,,,
