reference_key,external_id,product_name,sku,official_type,presentation,price_cop,image_status,image_url,source_url,active_claims,type,subtype,concern,benefit,ingredient,use,role,stage,system,formulation,finish,relation
admiss-co-official:product:8392907325683,8392907325683,ADRIANO - ESMALTE TRADICIONAL ESCARCHADO ADMISS 10 ML - GAMA PLATEADO,314117,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Adriano.webp?v=1707339551,https://admiss.com.co/products/adriano-esmalte-tradicional-escarchado-admiss-10-ml-gama-plateado,16,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Escarchado | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN ANIMALIA | Colección comercial: TODO ADMISS | Colección comercial: TONOS ESCARCHADOS
admiss-co-official:product:7476693401843,7476693401843,ALEJO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA LILA,310204,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Alejo.webp?v=1707339573,https://admiss.com.co/products/alejo-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695728371,7476695728371,ALEXANDER - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA VIOLETA,312483,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Alexander.webp?v=1707339606,https://admiss.com.co/products/alexander-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695204083,7476695204083,ALVARO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA MARRON,312468,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Alvaro.webp?v=1707339640,https://admiss.com.co/products/alvaro-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695826675,7476695826675,AMADOR - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROSADO,312485,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Amador.webp?v=1717509852,https://admiss.com.co/products/amador-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Traslúcido,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476693500147,7476693500147,ANDY - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROJO,310207,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Andy.webp?v=1707339694,https://admiss.com.co/products/andy-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7558447988979,7558447988979,ÁNGEL - ESMALTE TRADICIONAL PERLADO ADMISS 10ML - GAMA BLANCO,313088,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Angel.webp?v=1707340357,https://admiss.com.co/products/angel-esmalte-tradicional-perlado-admiss-10ml-gama-blanco,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN CELESTIAL | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695138547,7476695138547,ARIEL - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROSADO,312430,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Ariel.webp?v=1707340380,https://admiss.com.co/products/ariel-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:8071701168371,8071701168371,BASE FORTALECEDORA ADMISS VITAMIN PLUS 10 ML,313906,BASES,10 ml,5400.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/313906.webp?v=1755876233,https://admiss.com.co/products/base-fortalecedora-admiss-vitamin-plus-10-ml,12,Base para uñas,Base tradicional,Uñas débiles o maltratadas,Aplicación fácil declarada,,Cuidado de uñas débiles o maltratadas,Capa base,Base,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,,Colección comercial: BASES PARA UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476693041395,7476693041395,BASE TRADICIONAL FORTALECEDORA ADMISS AJO Y LIMON 10 ML,310010,BASES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/products/base-ajo-limon-unas-admiss.png?v=1638976867,https://admiss.com.co/products/base-para-unas-ajo-y-limon-10ml,16,Base para uñas,Base tradicional,Uñas débiles o maltratadas,Aplicación fácil declarada | Fortalecimiento declarado,Extracto de ajo | Extracto de limón,Cuidado de uñas débiles o maltratadas,Capa base,Base,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,,Colección comercial: Home page | Colección comercial: BASES PARA UÑAS | Colección comercial: TODO ADMISS
